Type,Days for shipping (real),Days for shipment (scheduled),Benefit per order,Sales per customer,Late_delivery_risk,Category Id,Customer Id,Customer Zipcode,Department Id,Latitude,Longitude,Order Customer Id,Order Id,Order Item Cardprod Id,Delivery Status
68,3,4,91.25,314.6400146,0,73,20755,725,2,18.2514534,-66.03705597,20755,77202,1360,65
84,5,4,-249.0899963,311.3599854,1,73,19492,725,2,18.27945137,-66.0370636,19492,75939,1360,76
67,4,4,-247.7799988,309.7200012,0,73,19491,95125,2,37.29223251,-121.881279,19491,75938,1360,83
68,3,4,22.86000061,304.8099976,0,73,19490,90027,2,34.12594605,-118.2910156,19490,75937,1360,65
80,2,4,134.2100067,298.25,0,73,19489,725,2,18.25376892,-66.03704834,19489,75936,1360,65
84,6,4,18.57999992,294.980011,0,73,19488,14150,2,43.01396942,-78.87906647,19488,75935,1360,83
68,2,1,95.18000031,288.4200134,1,73,19487,725,2,18.24253845,-66.03705597,19487,75934,1360,76
84,2,1,68.43000031,285.1400146,1,73,19486,33162,2,25.92886925,-80.16287231,19486,75933,1360,76
67,3,2,133.7200012,278.5899963,1,73,19485,725,2,18.23322296,-66.03705597,19485,75932,1360,76
67,2,1,132.1499939,275.3099976,1,73,19484,94583,2,37.77399063,-121.966629,19484,75931,1360,76
84,6,2,130.5800018,272.0299988,0,73,19483,725,2,18.28284454,-66.03705597,19483,75930,1360,83
84,5,2,45.68999863,268.7600098,1,73,19482,11520,2,40.65486527,-73.58707428,19482,75929,1360,76
84,4,2,21.76000023,262.2000122,1,73,19481,93905,2,36.6763382,-121.656517,19481,75928,1360,76
68,2,1,24.57999992,245.8099976,1,73,19480,725,2,18.27843857,-66.03705597,19480,75927,1360,76
84,2,1,16.38999939,327.75,1,73,19479,1960,2,42.52627564,-70.92703247,19479,75926,1360,76
68,2,1,-259.5799866,324.4700012,1,73,19478,725,2,18.28404999,-66.03705597,19478,75925,1360,76
80,5,2,-246.3600006,321.2000122,1,73,19477,729,2,18.3957901,-65.87288666,19477,75924,1360,76
67,2,1,23.84000015,317.9200134,1,73,19476,90723,2,33.89869309,-118.1745605,19476,75923,1360,76
68,2,1,102.2600021,314.6400146,1,73,19475,725,2,18.233778,-66.0370636,19475,75922,1360,76
80,0,0,87.18000031,311.3599854,0,73,19474,60056,2,42.04830551,-87.96134186,19474,75921,1360,83
84,0,0,154.8600006,309.7200012,0,73,19473,90813,2,33.78245163,-118.1922455,19473,75920,1360,83
84,5,4,82.30000305,304.8099976,1,73,19472,725,2,18.28337669,-66.03705597,19472,75919,1360,76
84,4,2,22.37000084,298.25,1,73,19471,95670,2,38.61177445,-121.2828674,19471,75918,1360,76
84,3,2,17.70000076,294.980011,0,73,19470,725,2,18.20733643,-66.03705597,19470,75917,1360,83
84,2,2,90.27999878,288.4200134,0,73,19469,59102,2,45.78831101,-108.5594101,19469,75916,1360,83
68,6,2,131.1699982,285.1400146,1,73,19468,725,2,18.26163292,-66.03705597,19468,75915,1360,76
84,5,2,90.54000092,278.5899963,1,73,19467,18702,2,41.23545456,-75.86985779,19467,75914,1360,76
80,4,4,82.58999634,275.3099976,0,73,19466,725,2,18.27022362,-66.0370636,19466,75913,1360,83
68,3,4,-17.13999939,272.0299988,0,73,19465,48066,2,41.86886215,-84.57365418,19465,75912,1360,65
84,2,4,23.64999962,268.7600098,0,73,19464,90706,2,33.90942383,-118.1253586,19464,75911,1360,65
68,6,4,73.41999817,262.2000122,1,73,19463,725,2,18.27526093,-66.0370636,19463,75910,1360,76
68,5,4,113.0699997,245.8099976,1,73,19462,60187,2,41.86544037,-88.10990143,19462,75909,1360,76
